beach,Causa,Cover,vegetacion,arena,palitos,troncos,basura,conchitas,Distancia a huellas de vehiculos (m),ORV tracks,Cattle tracks,Heces,Persona,Dog footprints,Bird tracks
Arauco,trampled,descubierto,0,80,5,0,5,10,0.1,1,0,0,0,0,0
Arauco,trampled,descubierto,0,75,10,0,5,10,0,0,1,0,0,0,0
Arauco,trampled,descubierto,40,50,5,0,5,0,1,2,1,0,0,0,0
Arauco,trampled,descubierto,70,18,5,2,5,0,2.5,2,0,0,0,0,1
Arauco,flooded,descubierto,30,55,5,5,5,0,0,2,0,0,2,1,0
Arauco,predated,descubierto,0,45,15,5,5,30,7,0,0,0,1,0,0
Arauco,predated,descubierto,5,42,30,0,15,8,1.5,2,0,0,0,0,0
Arauco,trampled,descubierto,10,84,3,0,3,0,7,2,1,0,0,0,0
Arauco,predated,descubierto,12,77,3,0,3,5,1,4,0,0,1,1,0
Arauco,predated,descubierto,40,45,3,7,5,0,7,1,0,0,0,0,0
Arauco,flooded,descubierto,0,82,3,0,0,15,0.1,5,0,0,0,0,2
Arauco,flooded,descubierto,0,93,2,0,0,5,2,4,0,0,0,0,3
Arauco,predated,descubierto,10,71,8,3,5,3,13,2,0,0,0,0,2
Arauco,predated,descubierto,0,83,2,0,0,15,36,0,0,0,0,0,1
Horcones,predated,descubierto,5,84,4,1,3,3,3,1,0,0,1,0,1
Horcones,trampled,descubierto,0,80,10,0,0,10,2,2,0,0,0,0,2
Arauco,trampled,descubierto,40,52,5,0,3,0,4,2,1,0,2,2,0
Arauco,predated,descubierto,50,38,10,0,2,0,2,1,1,0,3,3,1
Arauco,predated,descubierto,1,96,2,0,1,0,0,4,1,0,3,2,0
Arauco,trampled,descubierto,0,84,10,0,1,5,0.1,4,1,0,3,2,0
Arauco,predated,descubierto,2,81,10,1,2,4,0.5,3,0,0,2,1,0
Arauco,predated,descubierto,5,83,1,0,1,10,0.4,4,1,0,4,2,0
Arauco,predated,descubierto,0,66,20,1,5,8,0.1,3,0,0,2,0,0
Arauco,predated,descubierto,1,82,5,0,5,7,0.4,4,0,0,2,0,0
Arauco,predated,descubierto,0,85,5,0,5,5,8,1,0,0,0,1,0
Arauco,predated,descubierto,15,82,1,0,1,1,5,2,2,0,0,0,0
Arauco,trampled,descubierto,20,70,3,1,5,1,0.1,2,1,0,1,1,0
Arauco,predated,descubierto,80,17,2,0,1,0,4,2,1,0,1,1,0
